Title,Genre,Year,Certification,Rating,Director,Actors
The Kill Room,Comedy,2023,R,5.4,Nicol Paone,"Samuel L. Jackson,Maya Hawke,Uma Thurman,Joe Manganiell"
Mean Girls,Comedy,2024,,,Samantha Jayne,"Arturo Perez Jr.,Jon Hamm,Angourie Rice,Ashley Park,Jenna Fische"
The Big Bang Theory,Comedy,2007,TV-PG,8.2,,"Johnny Galecki,Jim Parsons,Kaley Cuoco,Simon Helber"
Friends,Comedy,1994,TV-14,8.9,,"Jennifer Aniston,Courteney Cox,Lisa Kudrow,Matt LeBlan"
The Simpsons,Comedy,1989,TV-14,8.7,,"Dan Castellaneta,Nancy Cartwright,Julie Kavner,Harry Sheare"
American Made,Comedy,2017,R,7.1,Doug Liman,"Tom Cruise,Domhnall Gleeson,Sarah Wright,Jesse Plemon"
PAW Patrol: The Mighty Movie,Comedy,2023,PG,6.0,Cal Brunker,"Mckenna Grace,Taraji P. Henson,Marsai Martin,Christian Conver"
Beetlejuice,Comedy,1988,PG,7.5,Tim Burton,"Alec Baldwin,Geena Davis,Michael Keaton,Annie McEnro"
Ghosts,Comedy,2019,TV-14,8.4,,"Lolly Adefope,Mathew Baynton,Simon Farnaby,Martha Howe-Dougla"
It's Always Sunny in Philadelphia,Comedy,2005,TV-MA,8.8,,"Charlie Day,Glenn Howerton,Rob McElhenney,Kaitlin Olso"
Trick 'r Treat,Comedy,2007,R,6.7,Michael Dougherty,"Anna Paquin,Brian Cox,Dylan Baker,Rochelle Ayte"
Modern Family,Comedy,2009,TV-PG,8.5,,"Ed O'Neill,Sofía Vergara,Julie Bowen,Ty Burrel"
Wednesday,Comedy,2022,TV-14,8.1,,"Jenna Ortega,Emma Myers,Hunter Doohan,Percy Hynes Whit"
Teenage Mutant Ninja Turtles: Mutant Mayhem,Comedy,2023,PG,7.3,Jeff Rowe,"Kyler Spears,Micah Abbey,Shamon Brown Jr.,Nicolas Cantu,Brady Noo"
What We Do in the Shadows,Comedy,2019,TV-MA,8.6,,"Kayvan Novak,Matt Berry,Natasia Demetriou,Harvey Guillé"
The Lost Boys,Comedy,1987,R,7.2,Joel Schumacher,"Jason Patric,Corey Haim,Dianne Wiest,Barnard Hughe"
Seinfeld,Comedy,1989,TV-PG,8.9,,"Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards,Jason Alexande"
The Fall of the House of Usher,Horror,2023,TV-MA,8.1,,"Carla Gugino,Bruce Greenwood,Mary McDonnell,Henry Thoma"
Totally Killer,Horror,2023,R,6.6,Nahnatchka Khan,"Kiernan Shipka,Olivia Holt,Charlie Gillespie,Lochlyn Munr"
The Exorcist: Believer,Horror,2023,R,5.1,David Gordon Green,"Linda Blair,Ellen Burstyn,Olivia O'Neill,Jennifer Nettle"
Saw X,Horror,2023,R,6.9,Kevin Greutert,"Tobin Bell,Shawnee Smith,Synnøve Macody Lund,Steven Bran"
Haunted Mansion,Horror,2023,PG-13,6.1,Justin Simien,"LaKeith Stanfield,Rosario Dawson,Owen Wilson,Tiffany Haddis"
American Horror Story,Horror,2011,TV-MA,8.0,,"Lady Gaga,Kathy Bates,Angela Bassett,Sarah Paulso"
Five Nights at Freddy's,Horror,2023,PG-13,,Emma Tammi,"Josh Hutcherson,Mary Stuart Masterson,Lucas Grant,David Huston Dot"
Goosebumps,Horror,2023,TV-14,6.6,,"Zack Morris,Isa Briones,Miles McKenna,Ana Yi Pui"
Pet Sematary: Bloodlines,Horror,2023,R,4.7,Lindsey Anderson Beer,"Jackson White,Natalie Alyn Lind,Forrest Goodluck,Isabella LaBlan"
Talk to Me,Horror,2022,R,7.2,Danny Philippou,"Michael Philippou,Ari McCarthy,Hamish Phillips,Kit Erhart-Bruce,Sarah Brokensh"
No One Will Save You,Horror,2023,PG-13,6.3,Brian Duffield,"Kaitlyn Dever,Elizabeth Kaluev,Zack Duhame,Lauren L. Murra"
The Walking Dead,Horror,2010,TV-MA,8.1,,"Andrew Lincoln,Norman Reedus,Melissa McBride,Lauren Coha"
The Exorcist,Horror,1973,R,8.1,William Friedkin,"Ellen Burstyn,Max von Sydow,Linda Blair,Lee J. Cob"
The Nun II,Horror,2023,R,5.7,Michael Chaves,"Taissa Farmiga,Jonas Bloquet,Storm Reid,Anna Popplewel"
The Walking Dead: Daryl Dixon,Horror,2023,TV-MA,7.8,,"Norman Reedus,Laïka Blanc-Francard,Anne Charrier,Melissa McBrid"
Friday the 13th,Horror,1980,R,6.4,Sean S. Cunningham,"Betsy Palmer,Adrienne King,Jeannine Taylor,Robbi Morga"
A Haunting in Venice,Horror,2023,PG-13,6.8,Kenneth Branagh,"Kenneth Branagh,Michelle Yeoh,Jamie Dornan,Tina Fe"
X,Horror,2022,R,6.6,Ti West,"Mia Goth,Jenna Ortega,Brittany Snow,Kid Cud"
Hocus Pocus,Horror,1993,PG,6.9,Kenny Ortega,"Bette Midler,Sarah Jessica Parker,Kathy Najimy,Omri Kat"
The Boogeyman,Horror,2023,PG-13,5.9,Rob Savage,"Sophie Thatcher,Chris Messina,Vivien Lyra Blair,David Dastmalchia"
Stranger Things,Horror,2016,TV-14,8.7,,"Millie Bobby Brown,Finn Wolfhard,Winona Ryder,David Harbou"
Supernatural,Horror,2005,TV-14,8.4,,"Jared Padalecki,Jensen Ackles,Jim Beaver,Misha Collin"
V/H/S/85,Horror,2023,,5.7,David Bruckner,"Scott Derrickson,Natasha Kermani,Mike P. Nelson,Gigi Saul Guerrero,Gigi Saul Guerrero,James Ransone,Kelli Garner,Freddy Rodrígue"
Get Out,Horror,2017,R,7.8,Jordan Peele,"Daniel Kaluuya,Allison Williams,Bradley Whitford,Catherine Keene"
Saw,Horror,2004,R,7.6,James Wan,"Cary Elwes,Leigh Whannell,Danny Glover,Ken Leun"
Meg 2: The Trench,Horror,2023,PG-13,5.1,Ben Wheatley,"Jason Statham,Jing Wu,Shuya Sophia Cai,Cliff Curti"
Chucky,Horror,2021,TV-MA,7.3,,"Zackary Arthur,Bjorgvin Arnarson,Alyvia Alyn Lind,Brad Douri"
The Haunting of Hill House,Horror,2018,TV-MA,8.6,,"Michiel Huisman,Carla Gugino,Henry Thomas,Elizabeth Rease"
Castlevania: Nocturne,Horror,2023,TV-MA,7.6,,"Edward Bluemel,Thuso Mbedu,Pixie Davies,Richard Dorme"
Attack on Titan,Horror,2013,TV-MA,9.0,,"Josh Grelle,Bryce Papenbrook,Yûki Kaji,Yui Ishikaw"
Trick 'r Treat,Horror,2007,R,6.7,Michael Dougherty,"Anna Paquin,Brian Cox,Dylan Baker,Rochelle Ayte"
It Lives Inside,Horror,2023,PG-13,5.3,Bishal Dutta,"Megan Suri,Neeru Bajwa,Mohana Krishnan,Betty Gabrie"
Scream,Horror,1996,R,7.4,Wes Craven,"Neve Campbell,Courteney Cox,David Arquette,Skeet Ulric"
What We Do in the Shadows,Horror,2019,TV-MA,8.6,,"Kayvan Novak,Matt Berry,Natasia Demetriou,Harvey Guillé"
Interview with the Vampire,Horror,2022,TV-MA,7.3,,"Jacob Anderson,Sam Reid,Eric Bogosian,Assad Zama"
The Last of Us,Horror,2023,TV-MA,8.8,,"Pedro Pascal,Bella Ramsey,Anna Torv,Gabriel Lun"
The Lost Boys,Horror,1987,R,7.2,Joel Schumacher,"Jason Patric,Corey Haim,Dianne Wiest,Barnard Hughe"
Us,Horror,2019,R,6.8,Jordan Peele,"Lupita Nyong'o,Winston Duke,Elisabeth Moss,Tim Heidecke"
Halloween,Horror,1978,R,7.7,John Carpenter,"Donald Pleasence,Jamie Lee Curtis,Tony Moran,Nancy Kye"
When Evil Lurks,Horror,2023,,7.4,Demián Rugna,"Ezequiel Rodríguez,Luis Ziembrowski,Demián Salomón,Federico Lis"
Pearl,Horror,2022,R,7.0,Ti West,"Mia Goth,David Corenswet,Tandi Wright,Matthew Sunderlan"
The Nun,Horror,2018,R,5.3,Corin Hardy,"Demián Bichir,Taissa Farmiga,Jonas Bloquet,Bonnie Aaron"
